stage,system,switch_high,switch_low,hysteresis_count,loss_rate,rtt_ms,trials,integrity_failures,goodput_mean,goodput_stdev,completion_mean_s,retransmissions_mean,overhead_mean,switches_mean,gbn_residence_mean_s,sr_residence_mean_s
entry,hybrid,0.5,0.02,1,0.02,0.0,3,0,347162.8970092785,184765.2062141023,0.900875,29.666666666666668,0.10266059285667128,0.3333333333333333,0.819994,0.07898533333333331
entry,hybrid,0.5,0.02,1,0.05,0.0,3,0,85789.70080671094,14480.365594511017,3.1121223333333337,75.66666666666667,0.22686382888769455,0.6666666666666666,1.9259506666666664,1.1841400000000002
entry,hybrid,0.5,0.02,1,0.1,0.0,3,0,60243.973449902165,8268.587862978284,4.405344,99.0,0.2777407051916856,1.0,2.6509583333333335,1.7524530000000003
entry,hybrid,0.5,0.02,1,0.2,0.0,3,0,34349.32124228216,1454.6209660671102,7.640677666666666,108.33333333333333,0.29663392932090993,1.0,1.6696923333333336,5.9693830000000005
entry,hybrid,0.5,0.02,2,0.0,0.0,3,0,4518601.5046247095,346451.8058634376,0.058233,0.0,0.0,0.0,0.056525,0.0
entry,hybrid,0.5,0.02,2,0.01,0.0,3,0,380156.9208916841,12776.97391948085,0.690081,21.666666666666668,0.0778998778998779,0.0,0.6879923333333333,0.0
entry,hybrid,0.5,0.02,2,0.02,0.0,3,0,350104.9591928064,185602.27052399865,0.8907866666666667,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8155259999999999,0.07345400000000006
entry,hybrid,0.5,0.02,2,0.05,0.0,3,0,83065.49149801904,17070.44252634981,3.240845333333333,101.33333333333333,0.2812064308506777,0.6666666666666666,2.618128,0.6211506666666667
entry,hybrid,0.5,0.02,2,0.1,0.0,3,0,60794.65543819601,7487.199530802504,4.353063333333334,118.33333333333333,0.31425410699527223,1.0,2.814017,1.5376780000000003
entry,hybrid,0.5,0.02,2,0.2,0.0,3,0,28528.40899184704,6386.6118583205425,9.469158666666667,135.33333333333334,0.34471819727680053,1.0,2.843181,6.624052333333332
entry,hybrid,0.5,0.02,3,0.0,0.0,3,0,4954850.3791921735,1107765.3619211128,0.05472,0.0,0.0,0.0,0.05305866666666667,0.0
entry,hybrid,0.5,0.02,3,0.01,0.0,3,0,381221.59204760566,7429.564527517031,0.687815,21.666666666666668,0.0778998778998779,0.0,0.685889,0.0
entry,hybrid,0.5,0.02,3,0.02,0.0,3,0,344204.5347020414,183846.58913804314,0.9061880000000001,31.0,0.1064787672174813,0.0,0.9045890000000001,0.0
entry,hybrid,0.5,0.02,3,0.05,0.0,3,0,80586.39997026676,19830.928264901377,3.372184666666667,127.0,0.32882521489971345,0.0,3.369779,0.0
entry,hybrid,0.5,0.02,3,0.1,0.0,3,0,57126.14881032971,10941.02351832103,4.692878333333334,132.66666666666666,0.33827533982254226,1.0,3.231287666666667,1.4603743333333334
entry,hybrid,0.5,0.02,3,0.2,0.0,3,0,25721.457349612785,5235.364302889344,10.508187,174.66666666666666,0.40290925293339336,1.0,4.022938,6.483380333333333
entry,sr,,,,0.0,0.0,3,0,6808042.194010824,2797585.1387134693,0.042454,0.0,0.0,0.0,0.0,0.041299333333333334
entry,sr,,,,0.01,0.0,3,0,505542.507204454,101448.32509362393,0.5347689999999999,2.6666666666666665,0.010305987050173096,0.0,0.0,0.5335473333333334
entry,sr,,,,0.02,0.0,3,0,389905.33707284153,150650.33009069497,0.7511503333333334,5.0,0.01909021909021909,0.0,0.0,0.7490596666666667
entry,sr,,,,0.05,0.0,3,0,112593.55425815981,9982.83409273465,2.340763,14.333333333333334,0.05298340077342828,0.0,0.0,2.338464333333333
entry,sr,,,,0.1,0.0,3,0,62880.608118757234,14022.748928520583,4.2974749999999995,26.333333333333332,0.09308755760368663,0.0,0.0,4.295958333333334
entry,sr,,,,0.2,0.0,3,0,40212.54517905449,1418.692439059212,6.524287,63.0,0.19738123878448463,0.0,0.0,6.52269
exit,gbn,,,,0.15,0.0,3,0,81787.6892936532,960.6536726849426,3.2054709999999997,120.0,0.3191489361702128,0.0,3.203504666666667,0.0
exit,hybrid,0.1,0.01,1,0.15,0.0,3,0,82739.02172011115,304.53860723500276,3.1683523333333334,66.66666666666667,0.20613032609859147,2.0,1.3421113333333334,1.8246930000000001
exit,hybrid,0.1,0.01,2,0.15,0.0,3,0,82544.41009512641,509.18060250503856,3.1758743333333332,79.66666666666667,0.23673614751046093,1.6666666666666667,2.1089499999999997,1.0650543333333335
exit,hybrid,0.1,0.01,3,0.15,0.0,3,0,80210.09433889897,2448.1664975634194,3.270277,94.0,0.26758844329039555,1.0,3.087888,0.18100733333333321
exit,hybrid,0.1,0.02,1,0.15,0.0,3,0,82484.37002513667,1078.836106597611,3.1784696666666665,66.66666666666667,0.20613032609859147,2.0,1.340772333333333,1.8361033333333336
exit,hybrid,0.1,0.02,2,0.15,0.0,3,0,81666.71549945784,1003.4592067445413,3.2102500000000003,79.66666666666667,0.23673614751046093,1.6666666666666667,2.120862666666667,1.088152
exit,hybrid,0.1,0.02,3,0.15,0.0,3,0,80459.480850012,3320.69536733228,3.2618756666666666,94.0,0.26758844329039555,1.0,3.0836419999999998,0.1765133333333333
exit,hybrid,0.1,0.05,1,0.15,0.0,3,0,82496.17819311947,560.60379595717,3.1777483333333336,66.66666666666667,0.20613032609859147,2.0,1.3368603333333333,1.8390406666666668
exit,hybrid,0.1,0.05,2,0.15,0.0,3,0,82327.77750051284,174.9088201191385,3.1841596666666665,79.66666666666667,0.23673614751046093,1.6666666666666667,2.1092573333333333,1.0736773333333334
exit,hybrid,0.1,0.05,3,0.15,0.0,3,0,80600.5827998646,2570.7855314912354,3.2546316666666666,94.0,0.26758844329039555,1.0,3.072986333333333,0.18028433333333327
exit,hybrid,0.1,0.1,1,0.15,0.0,3,0,82489.5803617167,162.97075541046792,3.1779126666666664,66.66666666666667,0.20613032609859147,2.0,1.358405333333333,1.817685
exit,hybrid,0.1,0.1,2,0.15,0.0,3,0,82496.64394890743,436.8458238517212,3.1776916666666666,79.66666666666667,0.23673614751046093,1.6666666666666667,2.111515333333333,1.0641413333333334
exit,hybrid,0.1,0.1,3,0.15,0.0,3,0,82706.14038234168,5247.313188056358,3.1784323333333333,92.66666666666667,0.26487066222912775,1.0,3.065802333333334,0.11077099999999988
exit,sr,,,,0.15,0.0,3,0,83465.96583211223,844.4374533264912,3.1409423333333333,28.333333333333332,0.09955687731237828,0.0,0.0,3.1393299999999997
flap,gbn,,,,0.06,0.0,3,0,227396.85710127652,9630.90358969045,13.850253333333335,504.0,0.14091379970574602,0.0,13.840983000000001,0.0
flap,hybrid,0.1,0.02,1,0.06,0.0,3,0,235505.77620884767,11488.788713973208,13.378756333333333,226.0,0.06847572192028044,8.0,5.044771666666667,8.323247333333333
flap,hybrid,0.1,0.02,2,0.06,0.0,3,0,235214.8833848415,6763.465067333283,13.381157666666667,246.66666666666666,0.07420405370035958,7.0,5.719795333333333,7.648791666666667
flap,hybrid,0.1,0.02,3,0.06,0.0,3,0,237294.2347988571,7328.215310710373,13.265223,222.0,0.06731241441155313,5.333333333333333,4.861591666666667,8.397065666666666
flap,sr,,,,0.06,0.0,3,0,239128.52694609304,8722.974667664925,13.166878666666667,72.66666666666667,0.023106964212643005,0.0,0.0,13.158357666666667
rtt-check,gbn,,,,0.1,50.0,3,0,27779.44782823545,6215.8677644301715,9.811473,234.0,0.47438741045585714,0.0,9.810311666666667,0.0
rtt-check,hybrid,0.1,0.02,3,0.1,50.0,3,0,34357.25493662478,4737.656488328744,7.735407333333334,100.66666666666667,0.28181199325234546,1.0,3.4574073333333337,4.276550666666667
rtt-check,sr,,,,0.1,50.0,3,0,40592.72644198679,6218.94813942559,6.562494333333333,29.0,0.10125512554368289,0.0,0.0,6.5611310000000005
